timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
160435916141,30316,5,0,9216.6409770802,948.3259549865,18461.6691908484,13507.5062555098,17230.3469431539,10838.0839203118,24199.8576709732,29183.5881095916,213.0928744602,-178.9989879623,16929.5249746004,10270.5095343089,-6489.6045974256,17789.9758231315,-5027.5706502714,8752.2851632263
160435916141,30316,5,0,9217.9429206403,945.9775894996,18487.6472235654,13512.6775266595,17230.6998063618,10836.9888275978,24200.1618633938,29183.9774758899,214.4921595948,-176.6749578691,16932.8954266203,10272.8578997957,-6488.0349645355,17793.4071136356,-5020.3673737522,8754.6578641068
160435916141,30316,5,0,9207.9654092455,939.3461947311,18451.9228656932,13499.5120786971,17230.3956139412,10838.2421003705,24201.6341547094,29185.0238978167,213.6282531204,-177.8552244609,16933.9661839407,10274.3180234145,-6487.6212628435,17799.7099805899,-5011.0225825922,8755.6921183367
160435916141,30316,5,0,9199.0464874743,940.4291197484,18412.6942111360,13491.1772063734,17228.6799686892,10837.8649017690,24201.9140117363,29183.7706250439,213.7742654823,-177.7457151895,16936.1928724593,10275.0602529207,-6488.3269892592,17804.6622331968,-5005.2185912077,8756.7385402635
160435916141,30316,5,0,9205.0694974016,945.6490616854,18416.6487126035,13494.1704597918,17229.8237321906,10836.4047781503,24201.2082853206,29182.7972092981,212.8251851301,-178.8529756004,16933.9783516375,10274.3301911113,-6488.8502002226,17798.5783847853,-5009.5381235798,8753.1855727912
160435916141,30316,5,0,9218.3444546354,953.5824000140,18460.3794149852,13509.2827392459,17225.6867152708,10834.5917913237,24198.9085906211,29179.9864713320,209.7224224402,-182.0165767744,16932.7129111680,10270.9354036977,-6490.8822055921,17788.6738795715,-5017.3862880306,8751.5551014169
160435916141,30316,5,0,9213.5017112999,952.8158351141,18486.7346463036,13513.9794702196,17225.6380444835,10833.2898477636,24200.0523541224,29182.7607062076,208.5178204548,-185.1801779484,16931.1311105810,10270.5825404898,-6492.8412047805,17782.6143665536,-5020.6472307792,8749.6204376221
160435947436,30317,5,0,9195.0554829163,943.7143978906,18455.3298208036,13503.5882571328,17224.5186163758,10829.0554892692,24198.1906965085,29182.2861660315,206.6318274472,-188.6358038461,16931.1919490651,10269.6821309249,-6492.8777078710,17779.7671254971,-5021.4137956790,8748.0629724287
160435947436,30317,5,0,9183.4596678441,937.5453756013,18410.0781563191,13490.9338524369,17223.5695360236,10826.5854468142,24198.3975473545,29180.6070238700,206.3398027235,-189.3050271713,16932.3113771728,10269.2440938393,-6492.7195278123,17776.2141580248,-5023.2876209897,8749.0363881746
160435947436,30317,5,0,9187.9495479717,941.9379141544,18409.1290759669,13495.2777202027,17226.8304787721,10828.0455704329,24201.4273038634,29183.4664326234,208.0919510660,-187.0540032591,16934.0513578185,10271.9209871403,-6489.2882373083,17774.8757113742,-5023.2024471120,8751.1535674218
160435947436,30317,5,0,9199.8130523741,948.8978367371,18451.5821701822,13509.0758883999,17225.2486781851,10828.9216446042,24201.8653409490,29186.1798290149,210.8053474575,-185.5087057626,16937.4826483226,10275.7173085491,-6486.4288285549,17776.9198844405,-5022.8252485105,8752.4068401945
160435947436,30317,5,0,9210.5692963656,950.0902710258,18489.2776949396,13519.7591262105,17231.3446942934,10833.0829969176,24207.4259783971,29190.5358644775,211.8030985970,-183.6348804518,16939.9770261713,10277.4694568916,-6485.4189097186,17783.0159005488,-5020.3308706618,8754.8890503464
160435947436,30317,5,0,9196.2965879923,943.6048886192,18463.9810532447,13509.1245591872,17232.2937746456,10832.6327921352,24207.2921337321,29190.8400568981,212.4723219222,-183.8052282074,16941.2424666408,10280.0976794054,-6485.1998911757,17792.7865610976,-5015.7558166563,8757.7606267966
